Автор,Повне ім'я,Рік народження,Рік смерті,Місце народження (населений пункт),Район,Регіон1,URL,Рідна мова,Стать,Місце народження,Регіон
Павло Загребельний,Загребельний Павло Архипович,1924.0,2009.0,Кобеляцький район,Кобеляцький,Полтавська,https://uk.wikipedia.org/wiki/%D0%97%D0%B0%D0%B3%D1%80%D0%B5%D0%B1%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D0%B9_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE_%D0%90%D1%80%D1%85%D0%B8%D0%BF%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Віктор Шовкун,Шовкун Віктор Йосипович,1940.0,2018.0,Харківський район,Харківський,Харківська,https://uk.wikipedia.org/wiki/%D0%A8%D0%BE%D0%B2%D0%BA%D1%83%D0%BD_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80_%D0%99%D0%BE%D1%81%D0%B8%D0%BF%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Михайло Грушевський,Грушевський Михайло Сергійович,1866.0,1934.0,Холм,Люблінське воєводство,Польща,https://uk.wikipedia.org/wiki/%D0%93%D1%80%D1%83%D1%88%D0%B5%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE_%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,PL,M,,
Іван Франко,Франко Іван Якович,1856.0,1916.0,Нагуєвичі,Дрогобицький,Львівська,https://uk.wikipedia.org/wiki/%D0%A4%D1%80%D0%B0%D0%BD%D0%BA%D0%BE_%D0%86%D0%B2%D0%B0%D0%BD_%D0%AF%D0%BA%D0%BE%D0%B2%D0%B8%D1%87,BE,M,,
Анатоль Перепадя,Перепадя Анатоль Олексійович,1935.0,2008.0,Попелак,Генічеський,Херсонська,https://uk.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B5%D0%BF%D0%B0%D0%B4%D1%8F_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%8C_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Наталя Тисовська,Тисовська Наталя Ігорівна,1973.0,,Київ,,Україна,https://uk.wikipedia.org/wiki/%D0%A2%D0%B8%D1%81%D0%BE%D0%B2%D1%81%D1%8C%D0%BA%D0%B0_%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D1%8F_%D0%86%D0%B3%D0%BE%D1%80%D1%96%D0%B2%D0%BD%D0%B0,UK,M,,
Євген Попович,Попович Євген Оксентович,1930.0,2007.0,Межиріч,Рівненський,Рівненська,https://uk.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BF%D0%BE%D0%B2%D0%B8%D1%87_%D0%84%D0%B2%D0%B3%D0%B5%D0%BD_%D0%9E%D0%BA%D1%81%D0%B5%D0%BD%D1%82%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Олекса Логвиненко,Логвиненко Олексій Потапович,1946.0,2016.0,Товмач,Львівський,Львівська,https://uk.wikipedia.org/wiki/%D0%9B%D0%BE%D0%B3%D0%B2%D0%B8%D0%BD%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D1%96%D0%B9_%D0%9F%D0%BE%D1%82%D0%B0%D0%BF%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Валерій Шевчук,Шевчук Валерій Олександрович,1939.0,,Житомир,Житомирський,Житомирська,https://uk.wikipedia.org/wiki/%D0%A8%D0%B5%D0%B2%D1%87%D1%83%D0%BA_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D1%96%D0%B9_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Андрій Кокотюха,Кокотюха Андрій Анатолійович,1970.0,,Ніжин,Ніжинський,Чернігівська,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BA%D0%BE%D1%82%D1%8E%D1%85%D0%B0_%D0%90%D0%BD%D0%B4%D1%80%D1%96%D0%B9_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Леся Українка,Леся Українка,1871.0,1913.0,Звягель,Звягельський,Житомирська,https://uk.wikipedia.org/wiki/%D0%9B%D0%B5%D1%81%D1%8F_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%BA%D0%B0,UK,F,,
